Waktu,Kejadian,Penyebab,Keterangan,Lokasi,Posisi
2020-01-01,Banjir,,,Brebes,"-6.889504199999999, 108.91753870000002"
2020-01-01,Banjir,,,Purworejo,"-7.58102, 109.90407"
2020-01-02,Tidak Banjir,,,,
2020-01-03,Banjir,,"40 sumur tercemar, Ketinggian air mengenang sempat mencapai ±50 cm",Cilacap,"-7.64872, 109.15607"
2020-01-03,Banjir,,,Wonosobo,"-7.26501, 109.91932"
2020-01-04,Banjir,,1 Tanggul Jebol,Demak,"-6.86811, 110.80326"
2020-01-05,Banjir,,,Cilacap,"-7.62933, 108.81783"
2020-01-06,Banjir,,,Pati,"-6.9205633, 110.98791970000002"
2020-01-07,Banjir,,,Kebumen,"-7.78825, 109.50772"
2020-01-07,Banjir,,,Purworejo,"-7.59403, 109.94311"
2020-01-07,Banjir,,"Tanggul jebol sepanjang 6 meter, Sawah terdampak baniran 26 Ha",Grobogan,"-6.98705, 110.86798"
2020-01-08,Banjir,,,Cilacap,"-7.461792, 108.805211"
2020-01-08,Banjir,,,Banjarnegara,"-7.49478, 109.47139"
2020-01-08,Banjir,,,Kebumen,"-7.55217, 109.49597"
2020-01-08,Banjir,,,Kudus,"-6.68547, 110.89085"
2020-01-08,Banjir,,"2 Orang (MD) a.n. Hj. Florentina Siti Haryatmi dan Sutrisno, ± 30.000 Jiwa terdampak Kerugian Materil : ± 3.011 unit rumah terendam, 39 unit rumah (RB), 7 unit rumah (RR), 2.725 Ha Sawah terendam Dengan rincian SBB : Kec. Karangrayung : Ds. Mojoagung : ± 80 unit rumah tergenang Ds. Sumberjosari : ± 750 unit rumah terdampak, 1 unit rumah roboh serta 7 pintu rumah warga rusak Kec. Gubug : Rumah Genset Glapan Hanyut ± pada Pkl. 23.00 WIB Kec. Kedungjati : Ds. Kalimantoro : ± 50 unit rumah tergenang dengan TMA ± 30-60 Cm Ds. Kedungjati : TMA 60-100 Cm (rumah tergenang dalam pendataan) Ds. Wates : TMA 60-100 Cm (rumah tergenang dalam pendataan) Ds. Klitikan : ± 30 unit rumah tergenang dengan TMA ± 100 CM  Ds. Jumo : ± 70 unit rumah tergenang dengan TMA ± 30-50 Cm Kec. Tanggungharjo : Ds. Sugihmanik : 11 unit rumah tergenang dengan TMA ± 70 CM (Pada Pkl. 23.30 air sudah surut) Kec. Penawangan :  Ds. Bologarang : 60 unit rumah tergenang Ds. Tunggu : 180 unit rumah tergenang Ds. Watupawon : 38 unit rumah tergenang Ds. Jipang : 60 unit rumah tergenang Ds. Kramat : 384 unit rumah tergenang Kec. Tegowanu : Ds. Sukorejo : ± 85 unit rumah tergenang dengan TMA 20-50 cm (pada sekira pukul 23.30 Wib air sudah surut) .Bupati Kab. Grobogan menetapkan Status Tanggap Darurat mulai hari Rabu, 08 Januari 2019 selama 7 hari",Grobogan,"-7.097924, 110.8942"
2020-01-09,Banjir,,,Demak,"-6.967113599999999, 110.6615885"
2020-01-09,Banjir,,,Pati,"-6.69844, 110.9364"
2020-01-10,Banjir,,"Persawahan terendam seluas 10 Ha, 4 unit rumah terendam, 1 unit rumah (RR), 1 unit MTS Baitul Muslim terendam, TMA 50 cm",Banyumas,"-7.4781604, 109.309917"
2020-01-10,Banjir,,,Jepara,"-6.71058, 110.7984"
2020-01-10,Banjir,,,Pati,"-6.432836300000001, 110.995371"
2020-01-11,Banjir,,,Klaten,"-7.59437, 110.62645"
2020-01-12,Banjir,,,Pati,"-6.93858, 110.92863"
2020-01-13,Banjir,,"Dsn. Pakis RT. 10. RW. 01, dan RT. 11 RW. 01, Ds. Sidomukti (Disebabkan oleh air limpasan dari galian C dan tersumbatnya saluran drainase, ketinggian air mencapai ±70 cm) Dsn. Pagersari, RT. 04 RW. 03 Ds. Penaruban (Disebabkan oleh limpasan Sungai Kentrung atau Sungai Suling, ketinggian air ± 30 – 50 cm) Dkh. Kedonsari RT. 02 RW. 10, RT. 02 RW. 13, RT. 02 RW. 12 Ds. Penyangkringan (Disebabkan oleh genangan air hujan yang melewati Dukuh tersebut, ketinggian air mencapai ±30 – 50 cm)  RT. 18 RW. 03, Ds. Nawangsari. (Disebabkan oleh air limpasan Sungai Damar karena ditutupnya Pintu air oleh Petani setempat, ketinggian air mencapai ±40 cm) 46 Unit rumah terendam",Wonogiri,"-7.86476, 110.83214"
2020-01-14,Banjir,,,Blora,"-6.91804, 111.54137"
2020-01-15,Banjir,,,Boyolali,"-7.51897, 110.80229"
2020-01-16,Banjir,,,Blora,"-6.94185, 111.35893"
2020-01-16,Tidak Banjir,,,,
2020-01-17,Tidak Banjir,,,,
2020-01-18,Tidak Banjir,,,,
2020-01-19,Tidak Banjir,,,,
2020-01-20,Banjir,,"Kec. Pekalongan Barat : Kel. Pasir Keraton Kramat : 15 Pasien terdampak Kel. Tirto : 27 jiwa mengungsi di Kantor Kel. Tirto, 2 Jiwa masih di titik pengungsian Kerugian Materil : Kec. Pekalongan Barat : Kel. Pasir Keraton Kramat : 2 unit ruangan RSUD Keraton terendam dengan TMA 50 cm",Banjarnegara,"-7.20449, 109.6998"
2020-01-21,Banjir,,,Grobogan,"-6.98173, 110.91392"
2020-01-21,Banjir,,,Blora,"-6.97107, 111.60364"
2020-01-22,Tidak Banjir,,,,
2020-01-23,Tidak Banjir,,,,
2020-01-24,Tidak Banjir,,,,
2020-01-25,Banjir,,,Tegal,"-7.48155, 109.35109"
