date,Kejadian,Penyebab,Keterangan,Lokasi,Posisi,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-01-01,Tidak Banjir,,,Cilacap,,1.6,0.0,1.5,0.0,0.2,0.2,2.1,0.0,2.1,0.8
2020-01-02,Tidak Banjir,,,Cilacap,,0.4,0.0,0.0,0.0,0.1,7.8,2.4,0.0,7.8,1.5285714285714287
2020-01-03,Banjir,,"40 sumur tercemar, Ketinggian air mengenang sempat mencapai ±50 cm",Cilacap,"-7.64872, 109.15607",0.0,0.0,0.0,0.2,0.1,8.1,1.3,0.0,8.1,1.385714285714286
2020-01-04,Tidak Banjir,,,Cilacap,,0.2,1.1,0.0,0.0,0.0,0.7,1.3,0.0,1.3,0.4714285714285714
2020-01-05,Banjir,,,Cilacap,"-7.62933, 108.81783",0.2,0.5,0.0,0.0,1.1,3.0,0.0,0.0,3.0,0.6857142857142857
2020-01-06,Tidak Banjir,,,Cilacap,,2.1,0.0,0.0,0.0,0.0,1.1,1.8,0.0,2.1,0.7142857142857143
2020-01-07,Tidak Banjir,,,Cilacap,,10.0,0.4,0.0,0.0,0.4,2.4,1.9,0.0,10.0,2.157142857142857
2020-01-08,Banjir,,,Cilacap,"-7.461792, 108.805211",0.0,0.0,0.0,0.0,1.2,1.6,2.2,0.0,2.2,0.7142857142857143
2020-01-09,Tidak Banjir,,,Cilacap,,0.2,0.9,0.2,0.2,0.0,1.4,2.9,0.0,2.9,0.8285714285714285
2020-01-10,Tidak Banjir,,,Cilacap,,0.3,0.9,0.3,0.3,0.3,2.7,0.8,0.3,2.7,0.8
2020-01-11,Tidak Banjir,,,Cilacap,,0.2,1.1,0.7,0.3,0.3,4.3,0.1,0.1,4.3,1.0
2020-01-12,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.3,0.0714285714285714
2020-01-13,Tidak Banjir,,,Cilacap,,0.3,0.1,0.0,0.0,0.0,17.7,2.2,0.0,17.7,2.8999999999999995
2020-01-14,Tidak Banjir,,,Cilacap,,2.1,0.0,0.0,0.0,0.2,1.6,2.3,0.0,2.3,0.8857142857142858
2020-01-15,Tidak Banjir,,,Cilacap,,0.4,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.2,0.3714285714285714
2020-01-16,Tidak Banjir,,,Cilacap,,0.2,0.5,0.0,0.1,0.0,1.7,2.1,0.0,2.1,0.6571428571428571
2020-01-17,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.2142857142857142
2020-01-18,Tidak Banjir,,,Cilacap,,1.8,1.3,0.0,0.0,0.0,0.2,0.1,0.0,1.8,0.4857142857142857
2020-01-19,Tidak Banjir,,,Cilacap,,0.0,0.3,1.4,0.0,0.1,4.6,2.6,0.0,4.6,1.2857142857142858
2020-01-20,Tidak Banjir,,,Cilacap,,3.1,1.9,1.5,0.0,0.2,1.6,3.1,0.0,3.1,1.6285714285714286
2020-01-21,Tidak Banjir,,,Cilacap,,4.0,2.7,1.8,0.0,0.2,0.0,2.5,0.0,4.0,1.6
2020-01-22,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,0.2714285714285714
2020-01-23,Tidak Banjir,,,Cilacap,,0.2,0.0,0.0,0.0,0.1,1.1,5.0,0.0,5.0,0.9142857142857144
2020-01-24,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,1.4,4.8,0.0,4.8,0.8857142857142856
2020-01-25,Tidak Banjir,,,Cilacap,,2.8,0.5,0.5,0.6,0.4,2.5,3.2,0.4,3.2,1.5
2020-01-26,Tidak Banjir,,,Cilacap,,1.2,0.0,0.0,0.1,0.1,1.6,2.2,0.0,2.2,0.7428571428571429
2020-01-27,Tidak Banjir,,,Cilacap,,0.0,0.1,0.2,0.0,1.8,4.8,2.1,0.0,4.8,1.2857142857142858
2020-01-28,Tidak Banjir,,,Cilacap,,1.7,0.0,0.4,0.0,1.7,10.6,0.0,0.0,10.6,2.057142857142857
2020-01-29,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,14.2,3.3,0.0,14.2,2.5
2020-01-30,Banjir,,,Cilacap,"-7.81894, 109.209",4.6,1.7,0.0,0.0,0.1,0.1,0.1,0.0,4.6,0.9428571428571428
2020-01-31,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.0,4.0,0.6142857142857142
2020-02-01,Tidak Banjir,,,Cilacap,,1.9,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.6285714285714287
2020-02-02,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Tidak Banjir,,,Cilacap,,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.0714285714285714
2020-02-04,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Tidak Banjir,,,Cilacap,,0.1,0.6,0.0,0.0,0.2,9.0,3.1,0.0,9.0,1.8571428571428568
2020-02-06,Tidak Banjir,,,Cilacap,,2.2,1.5,0.6,0.0,0.0,2.1,3.0,0.0,3.0,1.342857142857143
2020-02-07,Banjir,,,Cilacap,"-7.55941, 108.9601",2.4,0.0,0.0,0.0,3.8,4.8,1.7,0.0,4.8,1.8142857142857145
2020-02-08,Tidak Banjir,,,Cilacap,,0.9,0.5,0.1,0.0,0.0,0.0,0.1,0.0,0.9,0.2285714285714286
2020-02-09,Tidak Banjir,,,Cilacap,,0.0,0.0,0.1,0.3,0.6,16.1,1.4,0.0,16.1,2.642857142857143
2020-02-10,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,0.1,0.7,1.5,0.0,1.5,0.3428571428571428
2020-02-11,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,5.6,0.7999999999999999
2020-02-12,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.3,0.0571428571428571
2020-02-13,Tidak Banjir,,,Cilacap,,4.7,1.8,0.0,0.0,0.1,1.4,5.4,0.0,5.4,1.9142857142857144
2020-02-14,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.1,0.5,2.5,0.0,2.5,0.4428571428571429
2020-02-15,Tidak Banjir,,,Cilacap,,1.4,0.4,0.0,0.0,0.1,11.9,4.0,0.0,11.9,2.542857142857143
2020-02-16,Tidak Banjir,,,Cilacap,,0.0,0.0,0.2,0.3,3.8,1.7,2.8,0.0,3.8,1.2571428571428571
2020-02-17,Banjir,,,Cilacap,"-7.71732, 108.9369",0.6,0.5,1.3,0.5,1.8,0.2,0.2,0.2,1.8,0.7285714285714286
2020-02-18,Tidak Banjir,,,Cilacap,,0.0,0.0,0.1,1.4,0.6,10.6,2.4,0.0,10.6,2.157142857142857
2020-02-19,Tidak Banjir,,,Cilacap,,0.0,0.3,0.7,0.0,0.0,1.6,2.9,0.0,2.9,0.7857142857142857
2020-02-20,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.2,0.1,2.3,0.0,2.3,0.3714285714285714
2020-02-26,Tidak Banjir,,,Cilacap,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.3
2020-02-27,Tidak Banjir,,,Cilacap,,2.4,1.1,0.0,0.0,0.0,0.0,1.2,0.0,2.4,0.6714285714285715
2020-02-28,Tidak Banjir,,,Cilacap,,1.6,0.0,0.0,0.0,0.2,7.7,1.4,0.0,7.7,1.5571428571428572
2020-02-29,Tidak Banjir,,,Cilacap,,0.2,0.0,0.0,0.0,0.0,1.5,2.7,0.0,2.7,0.6285714285714287
2020-03-01,Banjir,,,Cilacap,"-7.55869, 108.99382",1.7,0.0,0.0,0.0,0.2,7.7,4.0,0.0,7.7,1.9428571428571428
2020-03-02,Tidak Banjir,,,Cilacap,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5714285714285714
2020-03-03,Tidak Banjir,,,Cilacap,,0.0,0.0,1.0,0.3,0.2,0.1,0.0,0.0,1.0,0.2285714285714286
2020-03-04,Tidak Banjir,,,Cilacap,,0.0,0.2,0.3,0.4,0.2,1.7,2.6,0.0,2.6,0.7714285714285715
2020-03-05,Banjir,,"Korban Jiwa : Total 60 KK terdampak Rincian : Kec. Kroya, Ds. Mujur Lor • 32 KK terdampak Kec. Kawungaten, Ds. Bringkeng • 28 KK / 102 Jiwa terdampak Kerugian Materil : Total 60 unit rumah terdampak 35 Ha lahan sawah terdampak Rincian : Kec. Kroya, Ds. Mujur Lor • 32 unit rumah terdampak • 35 Ha lahan sawah terdampak • TMA 20-50 cm Kec. Kawungaten, Ds. Bringkeng • 28 unit rumah terdampak",Cilacap,"-7.5857, 108.98057",2.0,1.2,0.3,0.6,0.0,0.0,0.0,0.0,2.0,0.5857142857142856
2020-03-06,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Tidak Banjir,,,Cilacap,,0.1,0.6,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.2571428571428572
2020-03-08,Banjir,,Korban Jiwa : • Ds. Mulyadadi : 60 KK terdampak • Ds. Pahonjean : 250 KK terdampak Kerugian Materil : • Ds. Mulyadadi : 6 unit rumah terendam • Ds. Pahonjean : Tanggul jebol sepanjang ± 2 Meter,Cilacap,"-7.65991, 108.95604",0.0,0.0,0.0,0.0,0.3,2.2,1.4,0.0,2.2,0.5571428571428572
2020-03-09,Tidak Banjir,,,Cilacap,,0.1,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.1142857142857143
2020-03-10,Banjir,,,Cilacap,"-7.62158, 108.98775",0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0428571428571428
2020-03-11,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.5,0.1142857142857143
2020-03-12,Tidak Banjir,,,Cilacap,,0.8,0.3,0.9,0.0,0.0,7.8,2.2,0.0,7.8,1.7142857142857142
2020-03-13,Banjir,,,Cilacap,"-7.57084, 108.88061",0.0,0.2,0.0,0.0,0.2,1.3,1.9,0.0,1.9,0.5142857142857143
2020-03-14,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,1.6,1.1,2.2,0.0,2.2,0.7142857142857143
2020-03-15,Tidak Banjir,,,Cilacap,,1.6,0.0,0.0,0.0,0.2,2.6,0.0,0.0,2.6,0.6285714285714287
2020-03-16,Tidak Banjir,,,Cilacap,,0.6,0.0,0.0,0.0,2.5,0.1,1.6,0.0,2.5,0.6857142857142858
