date,Kejadian,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-01-01,Tidak Banjir,1.6,0.0,1.5,0.0,0.2,0.2,2.1,0.0,2.1,0.8
2020-01-02,Tidak Banjir,0.4,0.0,0.0,0.0,0.1,7.8,2.4,0.0,7.8,1.5285714285714287
2020-01-03,Banjir,0.0,0.0,0.0,0.2,0.1,8.1,1.3,0.0,8.1,1.385714285714286
2020-01-04,Tidak Banjir,0.2,1.1,0.0,0.0,0.0,0.7,1.3,0.0,1.3,0.4714285714285714
2020-01-05,Banjir,0.2,0.5,0.0,0.0,1.1,3.0,0.0,0.0,3.0,0.6857142857142857
2020-01-06,Tidak Banjir,2.1,0.0,0.0,0.0,0.0,1.1,1.8,0.0,2.1,0.7142857142857143
2020-01-07,Tidak Banjir,10.0,0.4,0.0,0.0,0.4,2.4,1.9,0.0,10.0,2.1571428571428575
2020-01-08,Banjir,0.0,0.0,0.0,0.0,1.2,1.6,2.2,0.0,2.2,0.7142857142857143
2020-01-09,Tidak Banjir,0.2,0.9,0.2,0.2,0.0,1.4,2.9,0.0,2.9,0.8285714285714285
2020-01-10,Tidak Banjir,0.3,0.9,0.3,0.3,0.3,2.7,0.8,0.3,2.7,0.8
2020-01-11,Tidak Banjir,0.2,1.1,0.7,0.3,0.3,4.3,0.1,0.1,4.3,0.9999999999999999
2020-01-12,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.3,0.07142857142857142
2020-01-13,Tidak Banjir,0.3,0.1,0.0,0.0,0.0,17.7,2.2,0.0,17.7,2.8999999999999995
2020-01-14,Tidak Banjir,2.1,0.0,0.0,0.0,0.2,1.6,2.3,0.0,2.3,0.8857142857142858
2020-01-15,Tidak Banjir,0.4,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.2,0.37142857142857144
2020-01-16,Tidak Banjir,0.2,0.5,0.0,0.1,0.0,1.7,2.1,0.0,2.1,0.6571428571428571
2020-01-17,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.21428571428571427
2020-01-18,Tidak Banjir,1.8,1.3,0.0,0.0,0.0,0.2,0.1,0.0,1.8,0.48571428571428577
2020-01-19,Tidak Banjir,0.0,0.3,1.4,0.0,0.1,4.6,2.6,0.0,4.6,1.2857142857142858
2020-01-20,Tidak Banjir,3.1,1.9,1.5,0.0,0.2,1.6,3.1,0.0,3.1,1.6285714285714286
2020-01-21,Tidak Banjir,4.0,2.7,1.8,0.0,0.2,0.0,2.5,0.0,4.0,1.5999999999999999
2020-01-22,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,0.2714285714285714
2020-01-23,Tidak Banjir,0.2,0.0,0.0,0.0,0.1,1.1,5.0,0.0,5.0,0.9142857142857144
2020-01-24,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,1.4,4.8,0.0,4.8,0.8857142857142856
2020-01-25,Tidak Banjir,2.8,0.5,0.5,0.6,0.4,2.5,3.2,0.4,3.2,1.5
2020-01-26,Tidak Banjir,1.2,0.0,0.0,0.1,0.1,1.6,2.2,0.0,2.2,0.7428571428571429
2020-01-27,Tidak Banjir,0.0,0.1,0.2,0.0,1.8,4.8,2.1,0.0,4.8,1.2857142857142858
2020-01-28,Tidak Banjir,1.7,0.0,0.4,0.0,1.7,10.6,0.0,0.0,10.6,2.057142857142857
2020-01-29,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,14.2,3.3,0.0,14.2,2.5
2020-01-30,Banjir,4.6,1.7,0.0,0.0,0.1,0.1,0.1,0.0,4.6,0.9428571428571427
2020-01-31,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.0,4.0,0.6142857142857142
2020-02-01,Tidak Banjir,1.9,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.6285714285714287
2020-02-02,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Tidak Banjir,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.07142857142857142
2020-02-04,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Tidak Banjir,0.1,0.6,0.0,0.0,0.2,9.0,3.1,0.0,9.0,1.8571428571428572
2020-02-06,Tidak Banjir,2.2,1.5,0.6,0.0,0.0,2.1,3.0,0.0,3.0,1.342857142857143
2020-02-07,Banjir,2.4,0.0,0.0,0.0,3.8,4.8,1.7,0.0,4.8,1.8142857142857143
2020-02-08,Tidak Banjir,0.9,0.5,0.1,0.0,0.0,0.0,0.1,0.0,0.9,0.2285714285714286
2020-02-09,Tidak Banjir,0.0,0.0,0.1,0.3,0.6,16.1,1.4,0.0,16.1,2.642857142857143
2020-02-10,Tidak Banjir,0.0,0.0,0.0,0.1,0.1,0.7,1.5,0.0,1.5,0.34285714285714286
2020-02-11,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,5.6,0.7999999999999999
2020-02-12,Tidak Banjir,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.3,0.05714285714285715
2020-02-13,Tidak Banjir,4.7,1.8,0.0,0.0,0.1,1.4,5.4,0.0,5.4,1.9142857142857144
2020-02-14,Tidak Banjir,0.0,0.0,0.0,0.0,0.1,0.5,2.5,0.0,2.5,0.4428571428571429
2020-02-15,Tidak Banjir,1.4,0.4,0.0,0.0,0.1,11.9,4.0,0.0,11.9,2.542857142857143
2020-02-16,Tidak Banjir,0.0,0.0,0.2,0.3,3.8,1.7,2.8,0.0,3.8,1.2571428571428573
2020-02-17,Banjir,0.6,0.5,1.3,0.5,1.8,0.2,0.2,0.2,1.8,0.7285714285714286
2020-02-18,Tidak Banjir,0.0,0.0,0.1,1.4,0.6,10.6,2.4,0.0,10.6,2.157142857142857
2020-02-19,Tidak Banjir,0.0,0.3,0.7,0.0,0.0,1.6,2.9,0.0,2.9,0.7857142857142857
2020-02-20,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.1,2.3,0.0,2.3,0.3714285714285714
